Word,POS_Tag
Thendu,Noun
Sherpa,Noun
was,Verb
had,Verb
begun,Verb
climbing,Verb
career,Noun
Seven,Noun
Summit,Noun
Treks,Noun
had,Verb
established,Verb
guide,Noun
killed,Verb
Kili,Noun
Pemba,Noun
Sherpa,Noun
stood,Verb
Nepal,Noun
mountaineers,Noun
was,Verb
Nepali,Noun
climbers,Noun
led,Verb
Nimsdai,Noun
made,Verb
history,Noun
January,Noun
completing,Verb
winter,Noun
ascent,Noun
K2,Noun
world,Noun
mountain,Noun
regarded,Verb
demanding,Verb
peaks,Noun
weeks,Noun
Broad,Noun
Peak,Noun
tragedy,Noun
July,Noun
Kili,Noun
Pemba,Noun
reached,Verb
summit,Noun
Pakistan,Noun
Nanga,Noun
Parbat,Noun
completing,Verb
world,Noun
peaks,Noun
month,Noun
achieving,Verb
milestone,Noun
was,Verb
killed,Verb
avalanche,Noun
Broad,Noun
Peak,Noun
recovery,Noun
body,Noun
Friday,Noun
sent,Verb
shockwaves,Noun
Rolwaling,Noun
Valley,Noun
Dolakha,Noun
was,Verb
born,Verb
mountaineering,Noun
community,Noun
Born,Verb
family,Noun
Beding,Noun
Gaurishankar,Noun
Rural,Noun
Municipality-9,Noun
Kili,Noun
Pemba,Noun
began,Verb
working,Verb
mountaineering,Verb
expeditions,Noun
age,Noun
joining,Verb
Manaslu,Noun
expedition,Noun
support,Noun
worker,Noun
attempt,Noun
reach,Verb
summit,Noun
ended,Verb
failure,Noun
experience,Noun
strengthened,Verb
determination,Noun
years,Noun
building,Noun
expertise,Noun
peaks,Noun
climbed,Verb
Manaslu,Noun
reached,Verb
summit,Noun
Everest,Noun
time,Noun
year,Noun
Kili,Noun
Pemba,Noun
contributions,Noun
extended,Verb
climbing,Noun
record,Noun
Mingma,Noun
Gyalje,Noun
Sherpa,Noun
known,Verb
Mingma,Noun
G,Noun
helped,Verb
identify,Verb
summit,Noun
route,Noun
Manaslu,Noun
resolving,Verb
issue,Noun
climbers,Noun
had,Verb
stopped,Verb
mountain,Noun
point,Noun
route,Noun
identified,Verb
has,Verb
become,Verb
line,Noun
expeditions,Noun
earned,Verb
fame,Noun
guiding,Verb
climbers,Noun
disabilities,Noun
world,Noun
mountains,Noun
led,Verb
Chinese,Noun
amputee,Noun
Xia,Noun
Boyu,Noun
summit,Noun
Everest,Noun
guided,Verb
Russian,Noun
amputee,Noun
Rustam,Noun
Nabiev,Noun
top,Noun
Manaslu,Noun
According,Verb
uncle,Noun
Dawa,Noun
Chirring,Noun
Sherpa,Noun
Kili,Noun
Pemba,Noun
had,Verb
summited,Verb
Everest,Noun
times,Noun
career,Noun
earning,Verb
reputation,Noun
Nepal,Noun
guides,Noun
Nima,Noun
Sherpa,Noun
Chyakse,Noun
Boda,Noun
Makalu,Noun
Rural,Noun
Municipality-2,Noun
Sankhuwasabha,Noun
was,Verb
regarded,Verb
climber,Noun
Raised,Verb
family,Noun
built,Verb
reputation,Noun
guide,Noun
Working,Verb
Elite,Noun
Exped,Noun
Nima,Noun
had,Verb
climbed,Verb
peaks,Noun
year,Noun
joining,Verb
Broad,Noun
Peak,Noun
expedition,Noun
Pur,Noun
Bahadur,Noun
Gurung,Noun
known,Verb
Yukta,Noun
had,Verb
travelled,Verb
Pakistan,Noun
weeks,Noun
aim,Noun
climbing,Verb
K2,Noun
plan,Noun
changed,Verb
clients,Noun
broke,Verb
arm,Noun
forcing,Verb
expedition,Noun
postpone,Verb
K2,Noun
attempt,Noun
joined,Verb
Nimsdai,Noun
Broad,Noun
Peak,Noun
team,Noun
Yukta,Noun
had,Verb
climbed,Verb
world,Noun
mountains,Noun
metres,Noun
leaving,Verb
ambition,Noun
completing,Verb
unfinished,Noun
years,Noun
completing,Verb
ascent,Noun
Everest,Noun
May,Noun
spoke,Verb
enduring,Verb
passion,Noun
mountains,Noun
moment,Noun
head,Verb
mountains,Noun
soars,Noun
standing,Verb
summit,Noun
fills,Verb
pure,Noun
energy,Noun
said,Verb
interview,Noun
native,Noun
Laprak,Noun
Dharche,Noun
Rural,Noun
Municipality-4,Noun
Gorkha,Noun
Yukta,Noun
came,Verb
village,Noun
known,Verb
producing,Verb
climbers,Noun
people,Noun
Laprak,Noun
have,Verb
set,Verb
records,Noun
Everest,Noun
became,Verb
climber,Noun
Gurung,Noun
community,Noun
summit,Verb
Everest,Noun
times,Noun
reached,Verb
world,Noun
peak,Noun
age,Noun
completed,Verb
ascent,Noun
May,Noun
year,Noun
climbing,Noun
record,Noun
included,Verb
ascents,Noun
Makalu,Noun
Annapurna,Noun
Lhotse,Noun
K2,Noun
Confirmation,Noun
body,Noun
had,Verb
been,Verb
recovered,Verb
Omani,Noun
climber,Noun
Nadhira,Noun
Al,Noun
Harthy,Noun
plunged,Verb
Laprak,Noun
mourning,Verb
Nawang,Noun
Thendu,Noun
Sherpa,Noun
was,Verb
guides,Noun
killed,Verb
avalanche,Noun
had,Verb
scored,Verb
climbing,Noun
record,Noun
having,Verb
summited,Verb
Everest,Noun
Lhotse,Noun
Manaslu,Noun
Kanchenjunga,Noun
Makalu,Noun
Ama,Noun
Dablam,Noun
climbed,Verb
Everest,Noun
reached,Verb
summit,Noun
Makalu,Noun
year,Noun
According,Verb
Ongdi,Noun
Tshering,Noun
Sherpa,Noun
chairman,Noun
Makalu,Noun
Rural,Noun
Municipality,Noun
Nawang,Noun
came,Verb
family,Noun
rooted,Verb
mountaineering,Verb
father,Noun
brothers,Noun
are,Verb
climbers,Noun
have,Verb
summited,Verb
peaks,Noun
Nawang,Noun
passing,Noun
deprives,Verb
village,Noun
man,Noun
Ongdi,Noun
said,Verb
contributions,Noun
discipline,Noun
dedication,Noun
be,Verb
remembered,Verb
Nepal,Noun
mountaineering,Noun
fraternity,Noun
years,Noun
come,Verb
Leaders,Noun
Nepal,Noun
mountaineering,Noun
industry,Noun
said,Verb
deaths,Noun
represent,Verb
tragedy,Noun
warning,Verb
loss,Noun
group,Noun
climbers,Noun
have,Verb
consequences,Noun
country,Noun
tourism,Noun
sector,Noun
mountain,Noun
guide,Noun
be,Verb
produced,Verb
said,Verb
Chhang,Noun
Dawa,Noun
director,Noun
Seven,Noun
Summit,Noun
Treks,Noun
takes,Verb
years,Noun
training,Noun
repeated,Verb
expeditions,Noun
experience,Noun
Companies,Noun
ours,Noun
recruit,Verb
men,Noun
Himalayan,Noun
villages,Noun
train,Verb
seasons,Noun
help,Verb
become,Verb
professionals,Noun
Losing,Verb
climbers,Noun
calibre,Noun
is,Verb
blow,Noun
Nepal,Noun
mountaineering,Noun
community,Noun
